Class Name,Functionality,File Path,Classification,Usage Count,Usage Locations
AppMode(Enum),Application modes for the taskbar,gvar.py,Other,0,
MainWindow,Holds shared application state and widget references.,gvar.py,GUI Component,0,
SyncedHeightTable(SelectableTable),No description,main_gui.py,Data Model,0,
POEditorWindow(QMainWindow),No description,main_gui.py,GUI Component,0,
MainTablePager(TablePagerBase),No description,main_gui.py,Data Model,0,
ImportWorker(QObject),No description,main_utils/import_worker.py,Other,0,
POFileTableModel(QAbstractTableModel),Table model for displaying PO entries with columns:,main_utils/po_ed_table_model.py,Data Model,0,
PopupMenuManager(QMenu),No description,main_utils/popup_mnu.py,Service,0,
SelectableTable(QTableView),No description,main_utils/table_widgets.py,Data Model,0,
PreferencesDialog(QDialog),No description,pref/preferences.py,GUI Component,0,
FontSettingsTab(QWidget),No description,pref/kbd/font_settings.py,Other,0,
KeyboardSettingsTab(QWidget),A tab that shows all the remappable keyboard shortcuts in a tree:,pref/kbd/keyboard_settings.py,Other,0,
ReplacementActions,No description,pref/repl/replacement_actions.py,Other,0,
ReplacementRecord,Represents a single text-replacement pair.,pref/repl/replacement_engine.py,Other,0,
BaseHandler,Base interface for import/export handlers.,pref/repl/replacement_engine.py,Service,0,
PlistHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
JsonHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
CsvHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
YamlHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
AHKHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
AclHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
BambooMacroHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
SqliteHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
M17nHandler(BaseHandler),No description,pref/repl/replacement_engine.py,Service,0,
ReplacementEngine,Main engine to import/export across multiple formats.,pref/repl/replacement_engine.py,Other,0,
ReplacementsDialog(QWidget),No description,pref/repl/replacement_gui.py,GUI Component,0,
ReplacementsDialog(QWidget),Widget encapsulating text replacements management.,pref/repl/replacement_old.py,GUI Component,0,
ReplacementSettingsTab(QWidget),No description,pref/repl/replacement_settings.py,Other,0,
AdvancedSettingsWidget(QWidget),No description,pref/settings/advanced_settings_widget.py,GUI Component,0,
AppearanceSettingsWidget(QWidget),No description,pref/settings/appearance_settings_widget.py,GUI Component,0,
EditorSettingsWidget(QWidget),No description,pref/settings/editor_settings_widget.py,GUI Component,0,
FontSettingsWidget(QWidget),No description,pref/settings/font_settings_widget.py,GUI Component,0,
GeneralSettingsWidget(QWidget),No description,pref/settings/general_settings_widget.py,GUI Component,0,
HistorySettingsWidget(QWidget),No description,pref/settings/history_settings_widget.py,GUI Component,0,
KeyboardSettingsWidget(QWidget),No description,pref/settings/keyboard_settings_widget.py,GUI Component,0,
NetworkSettingsWidget(QWidget),No description,pref/settings/network_settings_widget.py,GUI Component,0,
ReplacementSettingsWidget(QWidget),No description,pref/settings/replacement_settings_widget.py,GUI Component,0,
TranslationHistorySettingsWidget(QWidget),No description,pref/settings/translation_history_settings_widget.py,GUI Component,0,
TranslationSettingsWidget(QWidget),No description,pref/settings/translation_settings_widget.py,GUI Component,0,
PreferencesDialog(QDialog),Tabbed Preferences: Font settings and Text Replacements.,pref/test/pref_old.py,GUI Component,0,
TranslationHistoryDialog(QWidget),No description,pref/test/test.py,GUI Component,0,
DatabasePORecord,In-memory representation of a PO entry and its translation history.,pref/test/test/db_po_rec.py,Data Model,0,
TranslationHistoryDialog(ReplacementsDialog),Re‑uses the same structure as ReplacementsDialog but,pref/test/test/translation_db.py,GUI Component,0,
TranslationHistoryDialog(QWidget),No description,pref/test/test/translation_db_old_gui.py,GUI Component,0,
_EntryDialog(QDialog),No description,pref/test/test/translation_db_old_gui.py,GUI Component,0,
ComboBoxDelegate(QStyledItemDelegate),No description,pref/tran_history/db_msgtr_combo.py,Other,0,
TranslationDBRecord,A record from the translation database,pref/tran_history/db_record.py,Other,0,
HistoryTableModel(QAbstractTableModel),No description,pref/tran_history/history_table_model.py,Data Model,0,
PagedSearchNavBar(QDockWidget),An enhanced navigation bar that displays search results with paging support.,pref/tran_history/paged_search_nav_bar.py,Other,0,
DatabasePORecord,In-memory representation of a PO entry and its translation history.,pref/tran_history/tran_db_record.py,Data Model,0,
NavBar(QDockWidget),No description,pref/tran_history/tran_navbar.py,Other,0,
TranslationRecord,A record from the translation history database,pref/tran_history/tran_record.py,Other,0,
FoundRecord,No description,pref/tran_history/tran_search_nav_bar.py,Other,0,
SearchNavBar(QDockWidget),A custom navigation bar that displays a list of found record indices.,pref/tran_history/tran_search_nav_bar.py,Other,0,
TranslationDB,Encapsulates all SQLite logic for translation history storage.,pref/tran_history/translation_db.py,Other,0,
ImportDictTypeDialog(QDialog),No description,pref/tran_history/translation_db_gui.py,GUI Component,0,
TranslationHistoryDialog(QWidget),No description,pref/tran_history/translation_db_gui.py,GUI Component,0,
VersionTableModel(QAbstractTableModel),Table model for displaying the msgstr_versions of a DatabasePORecord:,pref/tran_history/versions/tran_edit_version_tbl_model.py,Data Model,0,
_EntryDialog(QDialog),No description,pref/tran_history/versions/tran_entry_edit_dlg.py,GUI Component,0,
TransVersionEditor(QDialog),Dialog to add or edit a single translation version.,pref/tran_history/versions/tran_version_editor.py,Other,0,
SearchRequest,Encapsulates parameters for a search.,search/fast_search.py,Other,0,
SearchResult,Holds a single match result.,search/fast_search.py,Other,0,
